Type:Windows.ApplicationModel:DesignMode
Type:Windows.ApplicationModel.Activation:IProtocolActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IProtocolActivatedEventArgs:Uri:Uri:{get;}
Type:Windows.ApplicationModel.Activation:IRestrictedLaunchActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IRestrictedLaunchActivatedEventArgs:SharedContext:Object:{get;}
Type:Windows.ApplicationModel.Activation:ISearchActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ISearchActivatedEventArgs:Language:String:{get;}
Property:Windows.ApplicationModel.Activation:ISearchActivatedEventArgs:QueryText:String:{get;}
Type:Windows.ApplicationModel.Activation:ISearchActivatedEventArgsWithLinguisticDetails
Property:Windows.ApplicationModel.Activation:ISearchActivatedEventArgsWithLinguisticDetails:LinguisticDetails:SearchPaneQueryLinguisticDetails:{get;}
Type:Windows.ApplicationModel.Activation:IShareTargetActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IShareTargetActivatedEventArgs:ShareOperation:ShareOperation:{get;}
Type:Windows.ApplicationModel.Activation:LaunchActivatedEventArgs
Property:Windows.ApplicationModel.Activation:LaunchActivatedEventArgs:Arguments:String:{get;}
Property:Windows.ApplicationModel.Activation:LaunchActivatedEventArgs:CurrentlyShownApplicationViewId:Int32:{get;}
Property:Windows.ApplicationModel.Activation:LaunchActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:LaunchActivatedEventArgs:PrelaunchActivated:Boolean:{get;}
Property:Windows.ApplicationModel.Activation:LaunchActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:LaunchActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:LaunchActivatedEventArgs:TileId:String:{get;}
Type:Windows.ApplicationModel.Activation:LockScreenCallActivatedEventArgs
Property:Windows.ApplicationModel.Activation:LockScreenCallActivatedEventArgs:Arguments:String:{get;}
Property:Windows.ApplicationModel.Activation:LockScreenCallActivatedEventArgs:CallUI:LockScreenCallUI:{get;}
Property:Windows.ApplicationModel.Activation:LockScreenCallActivatedEventArgs:CurrentlyShownApplicationViewId:Int32:{get;}
Property:Windows.ApplicationModel.Activation:LockScreenCallActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:LockScreenCallActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:LockScreenCallActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:LockScreenCallActivatedEventArgs:TileId:String:{get;}
Type:Windows.ApplicationModel.Activation:PrintTaskSettingsActivatedEventArgs
Property:Windows.ApplicationModel.Activation:PrintTaskSettingsActivatedEventArgs:Configuration:PrintTaskConfiguration:{get;}
Property:Windows.ApplicationModel.Activation:PrintTaskSettingsActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:PrintTaskSettingsActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:PrintTaskSettingsActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:ProtocolActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ProtocolActivatedEventArgs:CurrentlyShownApplicationViewId:Int32:{get;}
Property:Windows.ApplicationModel.Activation:ProtocolActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:ProtocolActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:ProtocolActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:ProtocolActivatedEventArgs:Uri:Uri:{get;}
Type:Windows.ApplicationModel.Activation:RestrictedLaunchActivatedEventArgs
Property:Windows.ApplicationModel.Activation:RestrictedLaunchActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:RestrictedLaunchActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:RestrictedLaunchActivatedEventArgs:SharedContext:Object:{get;}
Property:Windows.ApplicationModel.Activation:RestrictedLaunchActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:SearchActivatedEventArgs
Property:Windows.ApplicationModel.Activation:SearchActivatedEventArgs:CurrentlyShownApplicationViewId:Int32:{get;}
Property:Windows.ApplicationModel.Activation:SearchActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:SearchActivatedEventArgs:Language:String:{get;}
Property:Windows.ApplicationModel.Activation:SearchActivatedEventArgs:LinguisticDetails:SearchPaneQueryLinguisticDetails:{get;}
Property:Windows.ApplicationModel.Activation:SearchActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:SearchActivatedEventArgs:QueryText:String:{get;}
