Type:Windows.ApplicationModel:DesignMode
Method:Windows.Media.Devices:AudioDeviceController:SetMediaStreamPropertiesAsync:IAsyncAction:(AudioDeviceController mediaStreamType|AudioDeviceController mediaEncodingProperties)
Property:Windows.Media.Devices:AudioDeviceController:VolumePercent:Single:{get;set;}
Type:Windows.Media.Devices:AudioDeviceRole
Field:Windows.Media.Devices:AudioDeviceRole:Communications:AudioDeviceRole
Field:Windows.Media.Devices:AudioDeviceRole:Default:AudioDeviceRole
Type:Windows.Media.Devices:CallControl
Event:Windows.Media.Devices:CallControl:AnswerRequested:CallControlEventHandler
Event:Windows.Media.Devices:CallControl:AudioTransferRequested:CallControlEventHandler
Event:Windows.Media.Devices:CallControl:DialRequested:DialRequestedEventHandler
Method:Windows.Media.Devices:CallControl:EndCall:Void:(CallControl callToken)
Method:Windows.Media.Devices:CallControl:FromId:CallControl:(CallControl deviceId)
Method:Windows.Media.Devices:CallControl:GetDefault:CallControl:()
Event:Windows.Media.Devices:CallControl:HangUpRequested:CallControlEventHandler
Property:Windows.Media.Devices:CallControl:HasRinger:Boolean:{get;}
Method:Windows.Media.Devices:CallControl:IndicateActiveCall:Void:(CallControl callToken)
Method:Windows.Media.Devices:CallControl:IndicateNewIncomingCall:UInt64:(CallControl enableRinger|CallControl callerId)
Method:Windows.Media.Devices:CallControl:IndicateNewOutgoingCall:UInt64:()
Event:Windows.Media.Devices:CallControl:KeypadPressed:KeypadPressedEventHandler
Event:Windows.Media.Devices:CallControl:RedialRequested:RedialRequestedEventHandler
Type:Windows.Media.Devices:CallControlEventHandler
Constructor:Windows.Media.Devices:CallControlEventHandler:.ctor:CallControlEventHandler:(CallControlEventHandler object|CallControlEventHandler method)
Type:Windows.Media.Devices:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Auto:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Backlit:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Beach:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Candlelight:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Landscape:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Macro:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Manual:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Night:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:NightPortrait:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Portrait:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Snow:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Sport:CaptureSceneMode
Field:Windows.Media.Devices:CaptureSceneMode:Sunset:CaptureSceneMode
Type:Windows.Media.Devices:CaptureUse
Field:Windows.Media.Devices:CaptureUse:None:CaptureUse
Field:Windows.Media.Devices:CaptureUse:Photo:CaptureUse
Field:Windows.Media.Devices:CaptureUse:Video:CaptureUse
Type:Windows.Media.Devices:ColorTemperaturePreset
Field:Windows.Media.Devices:ColorTemperaturePreset:Auto:ColorTemperaturePreset
Field:Windows.Media.Devices:ColorTemperaturePreset:Candlelight:ColorTemperaturePreset
Field:Windows.Media.Devices:ColorTemperaturePreset:Cloudy:ColorTemperaturePreset
Field:Windows.Media.Devices:ColorTemperaturePreset:Daylight:ColorTemperaturePreset
Field:Windows.Media.Devices:ColorTemperaturePreset:Flash:ColorTemperaturePreset
Field:Windows.Media.Devices:ColorTemperaturePreset:Fluorescent:ColorTemperaturePreset
Field:Windows.Media.Devices:ColorTemperaturePreset:Manual:ColorTemperaturePreset
Field:Windows.Media.Devices:ColorTemperaturePreset:Tungsten:ColorTemperaturePreset
Type:Windows.Media.Devices:DefaultAudioCaptureDeviceChangedEventArgs
Property:Windows.Media.Devices:DefaultAudioCaptureDeviceChangedEventArgs:Id:String:{get;}
Property:Windows.Media.Devices:DefaultAudioCaptureDeviceChangedEventArgs:Role:AudioDeviceRole:{get;}
Type:Windows.Media.Devices:DefaultAudioRenderDeviceChangedEventArgs
Property:Windows.Media.Devices:DefaultAudioRenderDeviceChangedEventArgs:Id:String:{get;}
Property:Windows.Media.Devices:DefaultAudioRenderDeviceChangedEventArgs:Role:AudioDeviceRole:{get;}
Type:Windows.Media.Devices:DialRequestedEventArgs
Property:Windows.Media.Devices:DialRequestedEventArgs:Contact:Object:{get;}
Method:Windows.Media.Devices:DialRequestedEventArgs:Handled:Void:()
Type:Windows.Media.Devices:DialRequestedEventHandler
Constructor:Windows.Media.Devices:DialRequestedEventHandler:.ctor:DialRequestedEventHandler:(DialRequestedEventHandler object|DialRequestedEventHandler method)
Type:Windows.Media.Devices:ExposureCompensationControl
Property:Windows.Media.Devices:ExposureCompensationControl:Max:Single:{get;}
Property:Windows.Media.Devices:ExposureCompensationControl:Min:Single:{get;}
Method:Windows.Media.Devices:ExposureCompensationControl:SetValueAsync:IAsyncAction:(ExposureCompensationControl value)
Property:Windows.Media.Devices:ExposureCompensationControl:Step:Single:{get;}
Property:Windows.Media.Devices:ExposureCompensationControl:Supported:Boolean:{get;}
Property:Windows.Media.Devices:ExposureCompensationControl:Value:Single:{get;}
Type:Windows.Media.Devices:ExposureControl
Property:Windows.Media.Devices:ExposureControl:Auto:Boolean:{get;}
Property:Windows.Media.Devices:ExposureControl:Max:TimeSpan:{get;}
Property:Windows.Media.Devices:ExposureControl:Min:TimeSpan:{get;}
Method:Windows.Media.Devices:ExposureControl:SetAutoAsync:IAsyncAction:(ExposureControl value)
Method:Windows.Media.Devices:ExposureControl:SetValueAsync:IAsyncAction:(ExposureControl shutterDuration)
Property:Windows.Media.Devices:ExposureControl:Step:TimeSpan:{get;}
Property:Windows.Media.Devices:ExposureControl:Supported:Boolean:{get;}
Property:Windows.Media.Devices:ExposureControl:Value:TimeSpan:{get;}
Type:Windows.Media.Devices:FlashControl
Property:Windows.Media.Devices:FlashControl:Auto:Boolean:{get;set;}
Property:Windows.Media.Devices:FlashControl:Enabled:Boolean:{get;set;}
Property:Windows.Media.Devices:FlashControl:PowerPercent:Single:{get;set;}
Property:Windows.Media.Devices:FlashControl:PowerSupported:Boolean:{get;}
Property:Windows.Media.Devices:FlashControl:RedEyeReduction:Boolean:{get;set;}
Property:Windows.Media.Devices:FlashControl:RedEyeReductionSupported:Boolean:{get;}
Property:Windows.Media.Devices:FlashControl:Supported:Boolean:{get;}
Type:Windows.Media.Devices:FocusControl
Method:Windows.Media.Devices:FocusControl:FocusAsync:IAsyncAction:()
Property:Windows.Media.Devices:FocusControl:Max:UInt32:{get;}
Property:Windows.Media.Devices:FocusControl:Min:UInt32:{get;}
Property:Windows.Media.Devices:FocusControl:Preset:FocusPreset:{get;}
Method:Windows.Media.Devices:FocusControl:SetPresetAsync:IAsyncAction:(FocusControl preset)
Method:Windows.Media.Devices:FocusControl:SetPresetAsync:IAsyncAction:(FocusControl preset|FocusControl completeBeforeFocus)
Method:Windows.Media.Devices:FocusControl:SetValueAsync:IAsyncAction:(FocusControl focus)
Property:Windows.Media.Devices:FocusControl:Step:UInt32:{get;}
Property:Windows.Media.Devices:FocusControl:Supported:Boolean:{get;}
Property:Windows.Media.Devices:FocusControl:SupportedPresets:IReadOnlyList<FocusPreset>:{get;}
Property:Windows.Media.Devices:FocusControl:Value:UInt32:{get;}
Type:Windows.Media.Devices:FocusPreset
Field:Windows.Media.Devices:FocusPreset:Auto:FocusPreset
Field:Windows.Media.Devices:FocusPreset:AutoHyperfocal:FocusPreset
Field:Windows.Media.Devices:FocusPreset:AutoInfinity:FocusPreset
Field:Windows.Media.Devices:FocusPreset:AutoMacro:FocusPreset
Field:Windows.Media.Devices:FocusPreset:AutoNormal:FocusPreset
Field:Windows.Media.Devices:FocusPreset:Manual:FocusPreset
Type:Windows.Media.Devices:IDefaultAudioDeviceChangedEventArgs
Property:Windows.Media.Devices:IDefaultAudioDeviceChangedEventArgs:Id:String:{get;}
Property:Windows.Media.Devices:IDefaultAudioDeviceChangedEventArgs:Role:AudioDeviceRole:{get;}
Type:Windows.Media.Devices:IMediaDeviceController
Method:Windows.Media.Devices:IMediaDeviceController:GetAvailableMediaStreamProperties:IReadOnlyList<IMediaEncodingProperties>:(IMediaDeviceController mediaStreamType)
Method:Windows.Media.Devices:IMediaDeviceController:GetMediaStreamProperties:IMediaEncodingProperties:(IMediaDeviceController mediaStreamType)
Method:Windows.Media.Devices:IMediaDeviceController:SetMediaStreamPropertiesAsync:IAsyncAction:(IMediaDeviceController mediaStreamType|IMediaDeviceController mediaEncodingProperties)
Type:Windows.Media.Devices:IsoSpeedControl
Property:Windows.Media.Devices:IsoSpeedControl:Preset:IsoSpeedPreset:{get;}
Method:Windows.Media.Devices:IsoSpeedControl:SetPresetAsync:IAsyncAction:(IsoSpeedControl preset)
Property:Windows.Media.Devices:IsoSpeedControl:Supported:Boolean:{get;}
Property:Windows.Media.Devices:IsoSpeedControl:SupportedPresets:IReadOnlyList<IsoSpeedPreset>:{get;}
Type:Windows.Media.Devices:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Auto:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso100:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso12800:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso1600:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso200:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso25600:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso3200:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso400:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso50:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso6400:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso80:IsoSpeedPreset
Field:Windows.Media.Devices:IsoSpeedPreset:Iso800:IsoSpeedPreset
Type:Windows.Media.Devices:KeypadPressedEventArgs
Property:Windows.Media.Devices:KeypadPressedEventArgs:TelephonyKey:TelephonyKey:{get;}
Type:Windows.Media.Devices:KeypadPressedEventHandler
Constructor:Windows.Media.Devices:KeypadPressedEventHandler:.ctor:KeypadPressedEventHandler:(KeypadPressedEventHandler object|KeypadPressedEventHandler method)
Type:Windows.Media.Devices:LowLagPhotoControl
Property:Windows.Media.Devices:LowLagPhotoControl:DesiredThumbnailSize:UInt32:{get;set;}
Method:Windows.Media.Devices:LowLagPhotoControl:GetCurrentFrameRate:MediaRatio:()
Method:Windows.Media.Devices:LowLagPhotoControl:GetHighestConcurrentFrameRate:MediaRatio:(LowLagPhotoControl captureProperties)
Property:Windows.Media.Devices:LowLagPhotoControl:HardwareAcceleratedThumbnailSupported:UInt32:{get;}
Property:Windows.Media.Devices:LowLagPhotoControl:ThumbnailEnabled:Boolean:{get;set;}
Property:Windows.Media.Devices:LowLagPhotoControl:ThumbnailFormat:MediaThumbnailFormat:{get;set;}
Type:Windows.Media.Devices:LowLagPhotoSequenceControl
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:DesiredThumbnailSize:UInt32:{get;set;}
Method:Windows.Media.Devices:LowLagPhotoSequenceControl:GetCurrentFrameRate:MediaRatio:()
Method:Windows.Media.Devices:LowLagPhotoSequenceControl:GetHighestConcurrentFrameRate:MediaRatio:(LowLagPhotoSequenceControl captureProperties)
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:HardwareAcceleratedThumbnailSupported:UInt32:{get;}
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:MaxPastPhotos:UInt32:{get;}
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:MaxPhotosPerSecond:Single:{get;}
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:PastPhotoLimit:UInt32:{get;set;}
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:PhotosPerSecondLimit:Single:{get;set;}
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:Supported:Boolean:{get;}
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:ThumbnailEnabled:Boolean:{get;set;}
Property:Windows.Media.Devices:LowLagPhotoSequenceControl:ThumbnailFormat:MediaThumbnailFormat:{get;set;}
Type:Windows.Media.Devices:MediaDevice
Event:Windows.Media.Devices:MediaDevice:DefaultAudioCaptureDeviceChanged:TypedEventHandler<Object,DefaultAudioCaptureDeviceChangedEventArgs>
Event:Windows.Media.Devices:MediaDevice:DefaultAudioRenderDeviceChanged:TypedEventHandler<Object,DefaultAudioRenderDeviceChangedEventArgs>
Method:Windows.Media.Devices:MediaDevice:GetAudioCaptureSelector:String:()
Method:Windows.Media.Devices:MediaDevice:GetAudioRenderSelector:String:()
Method:Windows.Media.Devices:MediaDevice:GetDefaultAudioCaptureId:String:(MediaDevice role)
Method:Windows.Media.Devices:MediaDevice:GetDefaultAudioRenderId:String:(MediaDevice role)
Method:Windows.Media.Devices:MediaDevice:GetVideoCaptureSelector:String:()
Type:Windows.Media.Devices:MediaDeviceControl
Property:Windows.Media.Devices:MediaDeviceControl:Capabilities:MediaDeviceControlCapabilities:{get;}
Method:Windows.Media.Devices:MediaDeviceControl:TryGetAuto:Boolean:(MediaDeviceControl value)
Method:Windows.Media.Devices:MediaDeviceControl:TryGetValue:Boolean:(MediaDeviceControl value)
Method:Windows.Media.Devices:MediaDeviceControl:TrySetAuto:Boolean:(MediaDeviceControl value)
Method:Windows.Media.Devices:MediaDeviceControl:TrySetValue:Boolean:(MediaDeviceControl value)
Type:Windows.Media.Devices:MediaDeviceControlCapabilities
Property:Windows.Media.Devices:MediaDeviceControlCapabilities:AutoModeSupported:Boolean:{get;}
Property:Windows.Media.Devices:MediaDeviceControlCapabilities:Default:Double:{get;}
Property:Windows.Media.Devices:MediaDeviceControlCapabilities:Max:Double:{get;}
Property:Windows.Media.Devices:MediaDeviceControlCapabilities:Min:Double:{get;}
Property:Windows.Media.Devices:MediaDeviceControlCapabilities:Step:Double:{get;}
Property:Windows.Media.Devices:MediaDeviceControlCapabilities:Supported:Boolean:{get;}
Type:Windows.Media.Devices:RedialRequestedEventArgs
Method:Windows.Media.Devices:RedialRequestedEventArgs:Handled:Void:()
Type:Windows.Media.Devices:RedialRequestedEventHandler
Constructor:Windows.Media.Devices:RedialRequestedEventHandler:.ctor:RedialRequestedEventHandler:(RedialRequestedEventHandler object|RedialRequestedEventHandler method)
Type:Windows.Media.Devices:RegionOfInterest
Constructor:Windows.Media.Devices:RegionOfInterest:.ctor:RegionOfInterest:()
Property:Windows.Media.Devices:RegionOfInterest:AutoExposureEnabled:Boolean:{get;set;}
Property:Windows.Media.Devices:RegionOfInterest:AutoFocusEnabled:Boolean:{get;set;}
Property:Windows.Media.Devices:RegionOfInterest:AutoWhiteBalanceEnabled:Boolean:{get;set;}
Property:Windows.Media.Devices:RegionOfInterest:Bounds:Rect:{get;set;}
Type:Windows.Media.Devices:RegionsOfInterestControl
Property:Windows.Media.Devices:RegionsOfInterestControl:AutoExposureSupported:Boolean:{get;}
Property:Windows.Media.Devices:RegionsOfInterestControl:AutoFocusSupported:Boolean:{get;}
Property:Windows.Media.Devices:RegionsOfInterestControl:AutoWhiteBalanceSupported:Boolean:{get;}
Method:Windows.Media.Devices:RegionsOfInterestControl:ClearRegionsAsync:IAsyncAction:()
Property:Windows.Media.Devices:RegionsOfInterestControl:MaxRegions:UInt32:{get;}
Method:Windows.Media.Devices:RegionsOfInterestControl:SetRegionsAsync:IAsyncAction:(RegionsOfInterestControl regions)
Method:Windows.Media.Devices:RegionsOfInterestControl:SetRegionsAsync:IAsyncAction:(RegionsOfInterestControl regions|RegionsOfInterestControl lockValues)
Type:Windows.Media.Devices:SceneModeControl
Method:Windows.Media.Devices:SceneModeControl:SetValueAsync:IAsyncAction:(SceneModeControl sceneMode)
Property:Windows.Media.Devices:SceneModeControl:SupportedModes:IReadOnlyList<CaptureSceneMode>:{get;}
Property:Windows.Media.Devices:SceneModeControl:Value:CaptureSceneMode:{get;}
Type:Windows.Media.Devices:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:A:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:B:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:C:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D0:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D1:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D2:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D3:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D4:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D5:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D6:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D7:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D8:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:D9:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:Pound:TelephonyKey
Field:Windows.Media.Devices:TelephonyKey:Star:TelephonyKey
Type:Windows.Media.Devices:TorchControl
Property:Windows.Media.Devices:TorchControl:Enabled:Boolean:{get;set;}
Property:Windows.Media.Devices:TorchControl:PowerPercent:Single:{get;set;}
Property:Windows.Media.Devices:TorchControl:PowerSupported:Boolean:{get;}
Property:Windows.Media.Devices:TorchControl:Supported:Boolean:{get;}
Type:Windows.Media.Devices:VideoDeviceController
Property:Windows.Media.Devices:VideoDeviceController:BacklightCompensation:MediaDeviceControl:{get;}
Property:Windows.Media.Devices:VideoDeviceController:Brightness:MediaDeviceControl:{get;}
Property:Windows.Media.Devices:VideoDeviceController:Contrast:MediaDeviceControl:{get;}
Property:Windows.Media.Devices:VideoDeviceController:Exposure:MediaDeviceControl:{get;}
Property:Windows.Media.Devices:VideoDeviceController:ExposureCompensationControl:ExposureCompensationControl:{get;}
Property:Windows.Media.Devices:VideoDeviceController:ExposureControl:ExposureControl:{get;}
Property:Windows.Media.Devices:VideoDeviceController:FlashControl:FlashControl:{get;}
Property:Windows.Media.Devices:VideoDeviceController:Focus:MediaDeviceControl:{get;}
Property:Windows.Media.Devices:VideoDeviceController:FocusControl:FocusControl:{get;}
Method:Windows.Media.Devices:VideoDeviceController:GetAvailableMediaStreamProperties:IReadOnlyList<IMediaEncodingProperties>:(VideoDeviceController mediaStreamType)
